doc,auteur,mot,lemme
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",et,et
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",pour,pour
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",une,une
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",poule,poule
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",sur,sur
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",un,un
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",mur,mur
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",qui,qui
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",picoterait,NA
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",du,du
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",pain,pain
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",dur,dur
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",c'est,NA
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",bien,bien
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",beau,beau
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",de,de
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",nourrir,nourrir
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",les,les
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",petits,petit
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",cochons,cochon
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",mais,mais
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",qu'en,NA
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",est,être
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",est,est
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",il,il
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",des,des
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",autres,autre
data/blog_de_ginette.htm,"Emma, 22 ans, Limoges",autres,autres
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",je,je
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",vois,voir
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",que,que
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",vous,vous
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",êtes,être
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",telle,telle
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",la,la
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",petite,petit
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",poule,poule
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",rousse,roux
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",bien,bien
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",aimable,aimable
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",avez,avoir
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",vous,vous
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",pu,pouvoir
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",compter,compter
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",sur,sur
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",l'aide,NA
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",du,du
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",chat,chat
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",et,et
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",du,du
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",canard,canard
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",et,et
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",des,des
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",cochons,cochon
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",eux,eux
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",mêmes,même
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",mêmes,mêmes
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",pour,pour
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",semer,semer
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",vos,vos
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",5,NA
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",grains,grain
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",de,de
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",blé,blé
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",les,les
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",cochons,cochon
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",se,se
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",sont,être
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",ils,ils
data/blog_de_ginette.htm,"Michel, 56 ans, Rennes",régalés,régaler
data/blog_de_jean-marc.htm,"Eddie, 76 ans, Saint-Tropez",les,les
data/blog_de_jean-marc.htm,"Eddie, 76 ans, Saint-Tropez",thons,thon
data/blog_de_jean-marc.htm,"Eddie, 76 ans, Saint-Tropez",avec,avec
data/blog_de_jean-marc.htm,"Eddie, 76 ans, Saint-Tropez",un,un
data/blog_de_jean-marc.htm,"Eddie, 76 ans, Saint-Tropez",t,t
data/blog_de_jean-marc.htm,"Eddie, 76 ans, Saint-Tropez",comme,comme
data/blog_de_jean-marc.htm,"Eddie, 76 ans, Saint-Tropez",crocodile,crocodile
data/blog_de_jean-marc.htm,"Eddie, 76 ans, Saint-Tropez",ou,ou
data/blog_de_jean-marc.htm,"Eddie, 76 ans, Saint-Tropez",les,les
data/blog_de_jean-marc.htm,"Eddie, 76 ans, Saint-Tropez",thons,thon
data/blog_de_jean-marc.htm,"Eddie, 76 ans, Saint-Tropez",thons,thon
data/blog_de_jean-marc.htm,"Yves, 40 ans, Lyon",pourquoi,pourquoi
data/blog_de_jean-marc.htm,"Yves, 40 ans, Lyon",ces,ces
data/blog_de_jean-marc.htm,"Yves, 40 ans, Lyon",thons,thon
data/blog_de_jean-marc.htm,"Yves, 40 ans, Lyon",ne,ne
data/blog_de_jean-marc.htm,"Yves, 40 ans, Lyon",préféraient,préférer
data/blog_de_jean-marc.htm,"Yves, 40 ans, Lyon",ils,ils
data/blog_de_jean-marc.htm,"Yves, 40 ans, Lyon",pas,pas
data/blog_de_jean-marc.htm,"Yves, 40 ans, Lyon",aller,aller
data/blog_de_jean-marc.htm,"Yves, 40 ans, Lyon",vers,vers
data/blog_de_jean-marc.htm,"Yves, 40 ans, Lyon",l'océan,NA
data/blog_de_jean-marc.htm,"Yves, 40 ans, Lyon",val,val
data/blog_de_jean-marc.htm,"Yves, 40 ans, Lyon",d'isère,NA
data/blog_de_jean-marc.htm,"Yves, 40 ans, Lyon",est,être
data/blog_de_jean-marc.htm,"Yves, 40 ans, Lyon",est,est
data/blog_de_jean-marc.htm,"Yves, 40 ans, Lyon",un,un
data/blog_de_jean-marc.htm,"Yves, 40 ans, Lyon",peu,peu
data/blog_de_jean-marc.htm,"Yves, 40 ans, Lyon",trop,trop
data/blog_de_jean-marc.htm,"Yves, 40 ans, Lyon",continental,continental
data/blog_de_jean-marc.htm,"Yves, 40 ans, Lyon",pour,pour
data/blog_de_jean-marc.htm,"Yves, 40 ans, Lyon",eux,eux
data/blog_de_jean-marc.htm,"Roberta, 18 ans, Collonges-au-Mont-d'Or",tout,tout
data/blog_de_jean-marc.htm,"Roberta, 18 ans, Collonges-au-Mont-d'Or",ça,ça
data/blog_de_jean-marc.htm,"Roberta, 18 ans, Collonges-au-Mont-d'Or",me,me
data/blog_de_jean-marc.htm,"Roberta, 18 ans, Collonges-au-Mont-d'Or",fait,faire
data/blog_de_jean-marc.htm,"Roberta, 18 ans, Collonges-au-Mont-d'Or",fait,fait
data/blog_de_jean-marc.htm,"Roberta, 18 ans, Collonges-au-Mont-d'Or",penser,penser
data/blog_de_jean-marc.htm,"Roberta, 18 ans, Collonges-au-Mont-d'Or",au,au
data/blog_de_jean-marc.htm,"Roberta, 18 ans, Collonges-au-Mont-d'Or",blog,NA
data/blog_de_jean-marc.htm,"Roberta, 18 ans, Collonges-au-Mont-d'Or",de,de
data/blog_de_jean-marc.htm,"Roberta, 18 ans, Collonges-au-Mont-d'Or",ginette,NA
data/blog_de_jean-marc.htm,"Roberta, 18 ans, Collonges-au-Mont-d'Or",sur,sur
data/blog_de_jean-marc.htm,"Roberta, 18 ans, Collonges-au-Mont-d'Or",ses,ses
data/blog_de_jean-marc.htm,"Roberta, 18 ans, Collonges-au-Mont-d'Or",petits,petit
data/blog_de_jean-marc.htm,"Roberta, 18 ans, Collonges-au-Mont-d'Or",cochons,cochon
data/blog_de_jean-marc.htm,"Roberta, 18 ans, Collonges-au-Mont-d'Or",mais,mais
data/blog_de_jean-marc.htm,"Roberta, 18 ans, Collonges-au-Mont-d'Or",en,en
data/blog_de_jean-marc.htm,"Roberta, 18 ans, Collonges-au-Mont-d'Or",moins,moins
data/blog_de_jean-marc.htm,"Roberta, 18 ans, Collonges-au-Mont-d'Or",bien,bien
data/blog_de_jean-marc.htm,"Roberta, 18 ans, Collonges-au-Mont-d'Or",écrit,écrire
data/blog_de_jean-marc.htm,"Roberta, 18 ans, Collonges-au-Mont-d'Or",écrit,écrit
data/blog_de_jean-marc.htm,"Eduardo, 29 ans, Fervaques",je,je
data/blog_de_jean-marc.htm,"Eduardo, 29 ans, Fervaques",préfère,préférer
data/blog_de_jean-marc.htm,"Eduardo, 29 ans, Fervaques",la,la
data/blog_de_jean-marc.htm,"Eduardo, 29 ans, Fervaques",chanson,chanson
data/blog_de_jean-marc.htm,"Eduardo, 29 ans, Fervaques",qui,qui
data/blog_de_jean-marc.htm,"Eduardo, 29 ans, Fervaques",parle,parler
data/blog_de_jean-marc.htm,"Eduardo, 29 ans, Fervaques",de,de
data/blog_de_jean-marc.htm,"Eduardo, 29 ans, Fervaques",canards,canard
data/blog_de_jean-marc.htm,"Eduardo, 29 ans, Fervaques",qui,qui
data/blog_de_jean-marc.htm,"Eduardo, 29 ans, Fervaques",dansent,danser
data/blog_de_jean-marc.htm,"Eduardo, 29 ans, Fervaques",et,et
data/blog_de_jean-marc.htm,"Eduardo, 29 ans, Fervaques",cancanent,NA
data/blog_de_jean-marc.htm,"Eduardo, 29 ans, Fervaques",gaiement,gaiement
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",on,on
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",ne,ne
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",comprend,comprendre
